"","species_code","scientific_name","common_name"
"45",30030,"Sebastolobus altivelis","longspine thornyhead"
"46",30035,"Adelosebastes latens","Aleutian scorpionfish"
"47",30040,"Sebastes (genus)","rockfish unid."
"48",30050,"Sebastes (genus)","rougheye and blackspotted rockfish unid."
"49",30051,"Sebastes aleutianus","rougheye rockfish"
"50",30052,"Sebastes melanostictus","blackspotted rockfish"
"51",30060,"Sebastes alutus","Pacific ocean perch"
"52",30080,"Sebastes auriculatus","brown rockfish"
"53",30090,"Sebastes aurora","aurora rockfish"
"54",30100,"Sebastes brevispinis","silvergray rockfish"
"55",30110,"Sebastes carnatus","gopher rockfish"
"56",30120,"Sebastes caurinus","copper rockfish"
"57",30130,"Sebastes chlorostictus","greenspotted rockfish"
"58",30150,"Sebastes (genus)","dusky and dark rockfishes unid."
"59",30151,"Sebastes ciliatus","dark rockfish"
"60",30152,"Sebastes variabilis","dusky rockfish"
"61",30160,"Sebastes constellatus","starry rockfish"
"62",30170,"Sebastes crameri","darkblotched rockfish"
"63",30180,"Sebastes dalli","calico rockfish"
"64",30190,"Sebastes diploproa","splitnose rockfish"
"65",30200,"Sebastes elongatus","greenstriped rockfish"
"66",30210,"Sebastes emphaeus","Puget Sound rockfish"
"67",30220,"Sebastes entomelas","widow rockfish"
"68",30230,"Sebastes eos","pink rockfish"
"69",30240,"Sebastes flavidus","yellowtail rockfish"
"70",30250,"Sebastes gilli","bronzespotted rockfish"
"71",30260,"Sebastes goodei","chilipepper"
"72",30270,"Sebastes helvomaculatus","rosethorn rockfish"
"73",30280,"Sebastes hopkinsi","squarespot rockfish"
"74",30290,"Sebastes jordani","shortbelly rockfish"
"75",30295,"Sebastes lentiginosus","freckled rockfish"
"76",30300,"Sebastes levis","cowcod"
"77",30320,"Sebastes maliger","quillback rockfish"
"78",30330,"Sebastes melanops","black rockfish"
"79",30340,"Sebastes melanostomus","blackgill rockfish"
"80",30350,"Sebastes miniatus","vermilion rockfish"
"81",30360,"Sebastes mystinus","blue rockfish"
"82",30370,"Sebastes nebulosus","China rockfish"
"83",30380,"Sebastes nigrocinctus","tiger rockfish"
"84",30390,"Sebastes ovalis","speckled rockfish"
"85",30400,"Sebastes paucispinis","bocaccio"
"86",30410,"Sebastes pinniger","canary rockfish"
"87",30420,"Sebastes polyspinis","northern rockfish"
"88",30430,"Sebastes proriger","redstripe rockfish"
"89",30460,"Sebastes rosaceus","rosy rockfish"
"90",30470,"Sebastes ruberrimus","yelloweye rockfish"
"91",30475,"Sebastes babcocki","redbanded rockfish"
"92",30480,"Sebastes rubrivinctus","flag rockfish"
"93",30490,"Sebastes saxicola","stripetail rockfish"
"94",30500,"Sebastes semicinctus","halfbanded rockfish"
"95",30510,"Sebastes serranoides","olive rockfish"
"96",30535,"Sebastes variegatus","harlequin rockfish"
"97",30540,"Sebastes vexillaris","whitebelly rockfish"
"98",30550,"Sebastes wilsoni","pygmy rockfish"
"99",30560,"Sebastes zacentrus","sharpchin rockfish"
"100",30570,"Sebastes phillipsi","chameleon rockfish"
"101",30575,"Sebastes rufus","bank rockfish"
"102",30576,"Sebastes borealis","shortraker rockfish"
"103",30580,"Sebastes (genus)","black rockfish unid."
"104",30590,"Sebastes (genus)","red rockfish unid."
"105",30600,"Sebastes reedi","yellowmouth rockfish"
"106",30611,"Sebastes rosenblatti","greenblotched rockfish"
"107",30620,"Sebastes simulator","pinkrose rockfish"
"108",30630,"Sebastes (genus)","white spotted red rockfish unid."
"109",31501,"Scorpaena guttata","California scorpionfish"
"110",31550,"Prionotus stephanophrys","lumptail searobin"
"111",39100,"Eumetopias jubatus","Steller sea lion"
"112",40001,"Cnidaria (phylum)","coelenterate unid."
"113",40008,"Campanulariidae","campanulariid hydroid"
"114",40009,"Plumulariidae","plumulariid hydroids"
"115",40010,"Hydrozoa","Hydrozoa"
"116",40011,"Hydrozoa (class)","hydroid unid."
"117",40012,"Bonneviella sp. A (Clark 2006)","champagne flute hydroid"
"118",40020,"Hydractinia sp.","Hydractinia sp."
"119",40028,"Aglaophenia sp.","Aglaophenia sp."
"120",40049,"Sertulariidae","Sertulariid hydroid"
"121",40050,"Sertularia robusta","Sertularia robusta"
"122",40500,"Scyphozoa (class)","jellyfish unid."
"123",40501,"Chrysaora sp.","chrysaora jellyfish"
"124",40502,"Periphylla sp.","Periphylla sp."
"125",40503,"Periphylla periphylla","helmet jelly"
"126",40504,"Chrysaora melanaster","northern sea nettle"
"127",40505,"Phacellophora camtschatica","egg yolk jelly"
"128",40506,"Aequorea sp.","Aequorea sp."
"129",40507,"Bolinopsis sp.","Bolinopsis sp."
"130",40508,"Polyorchis sp.","Polyorchis sp."
"131",40509,"Phacellophora sp.","Phacellophora sp."
"132",40510,"Atolla sp.","Atolla sp."
"133",40511,"Aurelia sp.","Aurelia sp."
"134",40512,"Aurelia labiata","Aurelia labiata"
"135",40560,"Cyanea sp.","Cyanea sp."
"136",40561,"Cyanea capillata","lions mane"
"137",41000,"Anthozoa","Anthozoa"
"138",41100,"Alcyonacea (order)","soft coral unid."
"139",41101,"Alyconaria unident.","Octocoral unident."
"140",41102,"Alcyonium sp.","Alcyonium sp."
"141",41201,"Gersemia sp.","sea raspberry"
"142",41221,"Gersemia rubiformis","Gersemia rubiformis"
"143",41300,"Anthomastus sp.","Anthomastus sp."
"144",41331,"Anthomastus sp. A","red anthomastus"
"145",41332,"Anthomastus sp. B","gray anthomastus"
"146",41333,"Anthomastus sp. cf. japonicus (Bayer et al.)","Anthomastus sp. cf. japonicus (Bayer et al.)"
"147",3,"Actinopterygii (class)","fish unid."
"148",2,"Actinopterygii (class)","fish larvae unid."
"149",10,"Petromyzontidae (family)","lamprey unid."
"150",21,"Lampetra tridentata","Pacific lamprey"
"151",100,"Myxinidae (family)","hagfish unid."
"152",109,"Eptatretus sp.","Eptatretus sp."
"153",110,"Eptatretus deani","black hagfish"
"154",120,"Eptatretus stouti","Pacific hagfish"
"155",150,"Chondrichthyes (class)","shark unid."
"156",151,"Chondrichthyes (class)","cartilaginous fish unid."
"157",160,"Chondrichthyes (class)","shark egg case unid."
"158",180,"Alopias vulpinus","thresher shark"
"159",200,"Scyliorhinidae (family)","cat shark unid."
"160",201,"Apristurus brunneus egg case","brown cat shark egg case"
"161",210,"Apristurus brunneus","brown cat shark"
"162",211,"Parmaturus xaniurus","filetail cat shark"
"163",212,"Apristurus kampae","longnose cat shark"
"164",213,"Apristurus sp.","Apristurus sp."
"165",214,"Cephaloscyllium ventriosum","swell shark"
"166",222,"Hexanchus griseus","sixgill shark"
"167",232,"Lamna ditropis","salmon shark"
"168",242,"Cetorhinus maximus","basking shark"
"169",252,"Squatina californica","Pacific angel shark"
"170",310,"Squalus suckleyi","spiny dogfish"
"171",320,"Somniosus pacificus","Pacific sleeper shark"
"172",332,"Galeorhinus galeus","soupfin shark"
"173",339,"Mustelus sp.","Mustelus sp."
"174",340,"Mustelus henlei","brown smoothhound"
"175",341,"Mustelus californicus","gray smoothhound"
"176",351,"Prionace glauca","blue shark"
"177",355,"Triakis semifasciata","leopard shark"
"178",400,"Rajidae (family)","skate unid."
"179",401,"Rajidae (family)","skate egg case unid."
"180",402,"Bathyraja sp. egg case","Bathyraja sp. egg case"
"181",403,"Raja sp. egg case","Raja sp. egg case"
"182",404,"Raja sp.","Raja sp."
"183",405,"Bathyraja sp.","Bathyraja sp."
"184",406,"Bathyraja spinosissima","white skate"
"185",410,"Bathyraja abyssicola","deepsea skate"
"186",420,"Beringraja binoculata","big skate"
"187",421,"Raja binoculata egg case","Raja binoculata egg case"
"188",425,"Raja inornata","California skate"
"189",435,"Bathyraja interrupta","Bering skate"
"190",436,"Bathyraja interrupta egg case","Bathyraja interrupta egg case"
"191",440,"Raja rhina","longnose skate"
"192",445,"Raja badia","roughshoulder skate"
"193",450,"Raja stellulata","starry skate"
"194",455,"Bathyraja taranetzi","mud skate"
"195",460,"Bathyraja trachura","roughtail skate"
"196",461,"Bathyraja trachura egg case","Bathyraja trachura egg case"
"197",471,"Bathyraja parmifera","Alaska skate"
"198",472,"Bathyraja aleutica","Aleutian skate"
"199",475,"Bathyraja lindbergi","Commander skate"
"200",480,"Bathyraja maculata","whiteblotched skate"
"201",485,"Bathyraja minispinosa","whitebrow skate"
"202",490,"Bathyraja smirnovi","golden skate"
"203",495,"Bathyraja violacea","Okhotsk skate"
"204",610,"Torpedo californica","Pacific electric ray"
"205",710,"Hydrolagus colliei","spotted ratfish"
"206",711,"Hydrolagus colliei egg case","Hydrolagus colliei egg case"
"207",10000,"fish eggs unident.","Fish eggs unident."
"208",10001,"Pleuronectiformes (order)","flatfish unid."
"209",10002,"Pleuronectiform larvae","flatfish larvae"
"210",10003,"Bothidae (family)","lefteye flounder unid."
"211",10008,"Citharichthys (genus)","sanddab unid."
"212",10009,"Citharichthys xanthostigma","longfin sanddab"
"213",10010,"Citharichthys sordidus","Pacific sanddab"
"214",10020,"Citharichthys stigmaeus","speckled sanddab"
"215",10041,"Hippoglossina stomata","bigmouth sole"
"216",10050,"Paralichthys californicus","California halibut"
"217",10060,"Xystreurys liolepis","fantail sole"
"218",10100,"Pleuronectidae (family)","righteye flounder unid."
"219",10110,"Atheresthes stomias","arrowtooth flounder"
"220",10111,"Atheresthes sp.","Atheresthes sp."
"221",10112,"Atheresthes evermanni","Kamchatka flounder"
"222",10115,"Reinhardtius hippoglossoides","Greenland turbot"
"223",10120,"Hippoglossus stenolepis","Pacific halibut"
"224",10122,"Parophrys vetulus X Platichthys stellatus hybrid","hybrid sole"
"225",10129,"Hippoglossoides sp.","Hippoglossoides sp."
"226",10130,"Hippoglossoides elassodon","flathead sole"
"227",10140,"Hippoglossoides robustus","Bering flounder"
"228",10145,"Hypsopsetta guttulata","diamond turbot"
"229",10150,"Lyopsetta exilis","slender sole"
"230",10155,"Liopsetta glacialis","Arctic flounder"
"231",10160,"Eopsetta jordani","petrale sole"
"232",10170,"Parophrys vetulus","English sole"
"233",10180,"Microstomus pacificus","Dover sole"
"234",10190,"Embassichthys bathybius","deepsea sole"
"235",10200,"Glyptocephalus zachirus","rex sole"
"236",10201,"Glyptocephalus zachirus larvae","rex sole larvae"
"237",10210,"Limanda aspera","yellowfin sole"
"238",10211,"Limanda proboscidea","longhead dab"
"239",10212,"Limanda sakhalinensis","Sakhalin sole"
"240",10220,"Platichthys stellatus","starry flounder"
"241",10221,"Platichthys stellatus X Pleuronectes quadrituberculatus hybrid","hybrid starry flounder X Alaska plaice"
"242",10240,"Clidoderma asperrimum","roughscale sole"
"243",10250,"Psettichthys melanostictus","sand sole"
"244",10260,"Lepidopsetta (genus)","rock sole unid."
"245",10261,"Lepidopsetta polyxystra","northern rock sole"
"246",10262,"Lepidopsetta bilineata","southern rock sole"
"247",10270,"Isopsetta isolepis","butter sole"
"248",10280,"Pleuronichthys decurrens","curlfin sole"
"249",10281,"Pleuronichthys verticalis","hornyhead turbot"
"250",10285,"Pleuronectes quadrituberculatus","Alaska plaice"
"251",10291,"Pleuronichthys sp.","Pleuronichthys sp."
"252",10295,"Pleuronichthys ritteri","spotted turbot"
"253",10400,"Symphurus atricauda","California tonguefish"
"254",20000,"Agonidae (family)","poacher unid."
"255",20001,"Pallasina barbata","tubenose poacher"
"256",20002,"Percis japonicus","dragon poacher"
"257",20004,"Leptagonus sp.","Leptagonus sp."
"258",20005,"Leptagonus leptorhynchus","longnose poacher"
"259",20006,"Leptagonus frenatus","sawback poacher"
"260",20015,"Agonopsis vulsa","northern spearnose poacher"
"261",20018,"Odontopyxis trispinosa","pygmy poacher"
"262",20020,"Xeneretmus latifrons","blacktip poacher"
"263",20021,"Xeneretmus triacanthus","bluespotted poacher"
"264",20022,"Xeneretmus leiops","smootheye poacher"
"265",20023,"Xeneretmus sp.","Xeneretmus sp."
"266",20034,"Bathyagonus (genus)","starsnout poacher unid."
"267",20035,"Bathyagonus alascanus","gray starsnout"
"268",20036,"Bathyagonus infraspinatus","spinycheek starsnout"
"269",20037,"Bathyagonus pentacanthus","bigeye poacher"
"270",20038,"Bathyagonus nigripinnis","blackfin poacher"
"271",20039,"Podothecus sp.","Podothecus sp."
"272",20040,"Podothecus accipenserinus","sturgeon poacher"
"273",20041,"Podothecus veternus","veteran poacher"
"274",20050,"Aspidophoroides monopterygius","Aleutian alligatorfish"
"275",20051,"Ulcina olrikii","Arctic alligatorfish"
"276",20055,"Anoplagonus inermis","smooth alligatorfish"
"277",20060,"Chesnonia verrucosa","warty poacher"
"278",20061,"Occella dodecaedron","Bering poacher"
"279",20071,"Hypsagonus quadricornis","fourhorn poacher"
"280",20075,"Stellerina xyosterna","pricklebreast poacher"
"281",20100,"Alepocephalidae (family)","slickhead unid."
"282",20110,"Alepocephalus sp.","Alepocephalus sp."
"283",20120,"Alepocephalus tenebrosus","California slickhead"
"284",20121,"Bajacalifornia burragei","sharpchin slickhead"
"285",20122,"Bajacalifornia megalops","Bajacalifornia megalops"
"286",20150,"Talismania bifurcata","threadfin slickhead"
"287",20179,"Maulisia sp.","Maulisia sp."
"288",20180,"Maulisia mauli","Maulisia mauli"
"289",20202,"Ammodytes (genus)","sand lance unid."
"290",20320,"Anarrhichthys ocellatus","wolf-eel"
"291",20322,"Anarhichas orientalis","Bering wolffish"
"292",20420,"Anoplogaster cornuta","fangtooth"
"293",20510,"Anoplopoma fimbria","sablefish"
"294",20542,"Aulorhynchus flavidus","tube-snout"
"295",20571,"Argentinidae (family)","argentine unid."
"296",20572,"Nansenia candida","bluethroat argentine"
"297",20573,"Argentina sialis","Pacific argentine"
"298",20575,"Atherinidae (family)","silverside unid."
"299",20610,"Engraulis mordax","northern anchovy"
"300",20614,"Bathylagidae (family)","deepsea smelt unid."
"301",20615,"Bathylagus pacificus","Pacific blacksmelt"
"302",20619,"Bathylagus (genus)","blacksmelt unid."
"303",20620,"Bathylagus milleri","robust blacksmelt"
"304",20622,"Leuroglossus schmidti","northern smoothtongue"
"305",20624,"Bathylagus ochotensis","popeye blacksmelt"
"306",20660,"Leuroglossus sp.","Leuroglossus sp."
"307",20662,"Leuroglossus stilbius","California smoothtongue"
"308",20700,"Bathymasteridae (family)","ronquil unid."
"309",20702,"Ronquilus jordani","northern ronquil"
"310",20712,"Bathymaster caeruleofasciatus","Alaskan ronquil"
"311",20713,"Bathymaster leurolepis","smallmouth ronquil"
"312",20720,"Bathymaster signatus","searcher"
"313",20722,"Bathymaster derjugini","bluecheek ronquil"
"314",20731,"Rathbunella hypoplecta","smooth ronquil"
"315",20801,"Porichthys notatus","plainfin midshipman"
"316",20802,"Porichthys sp.","Porichthys sp."
"317",20842,"Brama japonica","Pacific pomfret"
"318",20871,"Bathylaco nigricans","bonythroat"
"319",20900,"Ophidiidae (family)","cusk-eel unid."
"320",20901,"Chilara taylori","spotted cusk-eel"
"321",20902,"Ophidion scrippsae","basketweave cusk-eel"
"322",20905,"Lamprogrammus niger","paperbone cusk-eel"
"323",20908,"Dicrolene sp.","Dicrolene sp."
"324",20910,"Dicrolene filamentosa","threadfin cusk-eel"
"325",20915,"Melanonus zugmayeri","arrowtail"
"326",20920,"Cataetyx sp.","Cataetyx sp."
"327",20921,"Cataetyx rubrirostris","rubynose brotula"
"328",20930,"Brosmophycis marginata","red brotula"
"329",20952,"Trachurus symmetricus","jack mackerel"
"330",20960,"Ceratioidei","Ceratioidei"
"331",20971,"Melanocetus johnsonii","common blackdevil"
"332",20980,"Ceratiidae (family)","seadevils unid."
"333",20990,"Cetomimidae","flabby whalefishes"
"334",20995,"Rondeletia loricata","armored redmouth whalefish"
"335",21000,"Stomiidae (family)","viperfish unid."
"336",21010,"Chauliodus macouni","Pacific viperfish"
"337",21110,"Clupea pallasii","Pacific herring"
"338",21120,"Alosa sapidissima","American shad"
"339",21130,"Sardinops sagax","Pacific sardine"
"340",21150,"Gigantactis sp.","Gigantactis sp."
"341",21200,"Macrouridae (family)","grenadier unid."
"342",21201,"Nezumia stelgidolepis","California grenadier"
"343",21202,"Nezumia liolepis","smooth grenadier"
"344",21204,"Caelorinchus scaphopsis","shoulderspot grenadier"
"345",21210,"Coryphaenoides sp.","Coryphaenoides sp."
"346",21220,"Coryphaenoides acrolepis","Pacific grenadier"
"347",21230,"Coryphaenoides pectoralis","giant grenadier"
"348",21232,"Coryphaenoides cinereus","popeye grenadier"
"349",21238,"Coryphaenoides filifer","filamented grenadier"
"350",21239,"Coryphaenoides longifilis","longfin grenadier"
"351",21240,"Malacocephalus laevis","softhead grenadier"
"352",21300,"Cottidae (family)","sculpin unid."
"353",21305,"Zesticelus profundorum","flabby sculpin"
"354",21307,"Icelinus sp.","Icelinus sp."
"355",21308,"Thyriscus anoplus","sponge sculpin"
"356",21309,"Icelinus oculatus","frogmouth sculpin"
"357",21310,"Icelinus filamentosus","threadfin sculpin"
"358",21311,"Icelinus borealis","northern sculpin"
"359",21312,"Icelinus tenuis","spotfin sculpin"
"360",21313,"Gymnocanthus sp.","Gymnocanthus sp."
"361",21314,"Gymnocanthus pistilliger","threaded sculpin"
"362",21315,"Gymnocanthus tricuspis","Arctic staghorn sculpin"
"363",21316,"Gymnocanthus galeatus","armorhead sculpin"
"364",21318,"Icelinus fimbriatus","fringed sculpin"
"365",21320,"Radulinus asprellus","slim sculpin"
"366",21327,"Clinocottus acuticeps","sharpnose sculpin"
"367",21329,"Gymnocanthus detrisus","purplegray sculpin"
"368",21330,"Scorpaenichthys marmoratus","cabezon"
"369",21331,"Artediellus sp.","Artediellus sp."
"370",21332,"Artediellus miacanthus","bride sculpin"
"371",21333,"Artediellus pacificus","hookhorn sculpin"
"372",21334,"Artediellus scaber","hamecon"
"373",21335,"Artediellus uncinatus","Arctic hookear sculpin"
"374",21336,"Artediellus gomojunovi","spinyhook sculpin"
"375",21337,"Bolinia euryptera","broadfin sculpin"
"376",21338,"Malacocottus aleuticus","whitetail sculpin"
"377",21339,"Malacocottus sp.","Malacocottus sp."
"378",21340,"Malacocottus kincaidi","blackfin sculpin"
"379",21341,"Malacocottus zonurus","darkfin sculpin"
"380",21342,"Hemilepidotus sp.","Irish lord"
"381",21343,"Hemilepidotus gilberti","banded Irish lord"
"382",21344,"Hemilepidotus spinosus","brown Irish lord"
"383",21345,"Hemilepidotus zapus","longfin Irish lord"
"384",21346,"Hemilepidotus hemilepidotus","red Irish lord"
"385",21347,"Hemilepidotus jordani","yellow Irish lord"
"386",21348,"Hemilepidotus papilio","butterfly sculpin"
"387",21349,"Archistes plumarius","plumed sculpin"
"388",21350,"Triglops sp.","Triglops sp."
"389",21352,"Triglops forficata","scissortail sculpin"
"390",21353,"Triglops metopias","highbrow sculpin"
"391",21354,"Triglops scepticus","spectacled sculpin"
"392",21355,"Triglops pingeli","ribbed sculpin"
"393",21356,"Triglops macellus","roughspine sculpin"
"394",21359,"Archistes biseriatus","scaled sculpin"
"395",21360,"Microcottus sellaris","brightbelly sculpin"
"396",21363,"Artedius lateralis","smoothhead sculpin"
"397",21366,"Chitonotus pugetensis","roughback sculpin"
"398",21368,"Myoxocephalus scorpius","shorthorn (=warty) sculpin"
"399",21369,"Myoxocephalus niger","warthead sculpin"
"400",21370,"Myoxocephalus polyacanthocephalus","great sculpin"
"401",21371,"Myoxocephalus jaok","plain sculpin"
"402",21373,"Myoxocephalus stelleri","frog sculpin"
"403",21375,"Myoxocephalus sp.","Myoxocephalus sp."
"404",21376,"Megalocottus platycephalus","belligerent sculpin"
"405",21377,"Myoxocephalus quadricornis","fourhorn sculpin"
"406",21378,"Myoxocephalus scorpioides","Arctic sculpin"
"407",21379,"Trichocottus brashnikovi","hairhead sculpin"
"408",21380,"Leptocottus armatus","Pacific staghorn sculpin"
"409",21383,"Gilbertidia sigalutes","soft sculpin"
"410",21384,"Enophrys sp.","Enophrys sp."
"411",21386,"Enophrys bison","buffalo sculpin"
"412",21387,"Enophrys lucasi","leister sculpin"
"413",21388,"Enophrys diceraus","antlered sculpin"
"414",21389,"Enophrys taurina","bull sculpin"
"415",21390,"Dasycottus setiger","spinyhead sculpin"
"416",21393,"Psychrolutes sp.","Psychrolutes sp."
"417",21394,"Psychrolutes paradoxus","tadpole sculpin"
"418",21395,"Psychrolutes phrictus","blob sculpin"
"419",21397,"Blepsias bilobus","crested sculpin"
"420",21398,"Blepsias cirrhosus","silverspotted sculpin"
"421",21405,"Nautichthys pribilovius","eyeshade sculpin"
"422",21406,"Nautichthys oculofasciatus","sailfin sculpin"
"423",21407,"Nautichthys robustus","shortmast sculpin"
"424",21415,"Rhamphocottus richardsoni","grunt sculpin"
"425",21420,"Hemitripterus bolini","bigmouth sculpin"
"426",21421,"Hemitripterus villosus","sea raven"
"427",21422,"Hemitripterus bolini eggs","bigmouth sculpin eggs"
"428",21423,"Eurymen gyrinus","smoothcheek sculpin"
"429",21429,"Triglops xenostethus","scalybreasted sculpin"
"430",21437,"Icelinus burchami","dusky sculpin"
"431",21438,"Icelus spiniger","thorny sculpin"
"432",21439,"Icelus canaliculatus","blacknose sculpin"
"433",21440,"Icelus euryops","wide-eye sculpin"
"434",21441,"Icelus spatula","spatulate sculpin"
"435",21443,"Icelus uncinalis","uncinate sculpin"
"436",21444,"Rastrinus scutiger","roughskin sculpin"
"437",21445,"Jordania zonope","longfin sculpin"
"438",21446,"Icelus sp.","Icelus sp."
"439",21447,"Paricelinus hopliticus","thornback sculpin"
"440",21484,"Paralabrax nebulifer","barred sand bass"
"441",21500,"Embiotocidae (family)","surfperch unid."
"442",21501,"Amphistichus argenteus","barred surfperch"
"443",21506,"Embiotoca lateralis","striped surfperch"
"444",21510,"Cymatogaster aggregata","shiner perch"
"445",21515,"Hyperprosopon anale","spotfin surfperch"
"446",21521,"Rhacochilus vacca","pile perch"
"447",21522,"Zalembius rosaceus","pink seaperch"
"448",21592,"Trichodon trichodon","Pacific sandfish"
"449",21594,"Chiasmodontidae","swallowers"
"450",21595,"Kali indica","shortnose swallower"
"451",21596,"Chiasmodon niger","black swallower"
"452",21597,"Kali normani","needletooth swallower"
"453",21598,"Pseudoscopelus sp.","Pseudoscopelus sp."
"454",21705,"Gadidae (family)","cod unid."
"455",21710,"Microgadus proximus","Pacific tomcod"
"456",21720,"Gadus macrocephalus","Pacific cod"
"457",21725,"Boreogadus saida","Arctic cod"
"458",21726,"Moridae (family)","codlings unid."
"459",21727,"Halargyreus johnsonii","slender codling"
"460",21731,"Antimora microlepis","Pacific flatnose"
"461",21732,"Physiculus rastrelliger","hundred fathom codling"
"462",21733,"Laemonema longipes","longfin codling"
"463",21735,"Eleginus gracilis","saffron cod"
"464",21740,"Gadus chalcogrammus","walleye pollock"
"465",21744,"Gadus chalcogrammus","walleye pollock age 0"
"466",21752,"Gasterosteus aculeatus","threespine stickleback"
"467",21753,"Pungitius pungitius","ninespine stickleback"
"468",21760,"Syngnathidae (family)","pipefish unid."
"469",21770,"Gobiidae (family)","goby unid."
"470",21800,"Gonostomatidae (family)","bristlemouth unid."
"471",21805,"Sigmops gracilis","slender fangjaw"
"472",21810,"Cyclothone sp.","Cyclothone sp."
"473",21811,"Cyclothone atraria","black bristlemouth"
"474",21812,"Cyclothone pseudopallida","slender bristlemouth"
"475",21813,"Cyclothone signata","showy bristlemouth"
"476",21815,"Cyclothone acclinidens","benttooth bristlemouth"
"477",21818,"Gonostoma sp.","Gonostoma sp."
"478",21820,"Sternoptychidae (family)","hatchetfish unid."
"479",21822,"Argyropelecus sp.","Argyropelecus sp."
"480",21823,"Argyropelecus lychnus","tropical hatchetfish"
"481",21824,"Argyropelecus affinis","slender hatchetfish"
"482",21825,"Sternoptyx diaphana","longspine hatchetfish"
"483",21827,"Sternoptyx sp.","Sternoptyx sp."
"484",21845,"Stomias atriventer","blackbelly dragonfish"
"485",21846,"Stomiiformes","Stomiiformes"
"486",21847,"Stomiidae","barbeled dragonfish"
"487",21900,"Hexagrammidae (family)","greenling unid."
"488",21910,"Ophiodon elongatus","lingcod"
"489",21915,"Oxylebius pictus","painted greenling"
"490",21921,"Pleurogrammus monopterygius","Atka mackerel"
"491",21930,"Hexagrammos sp.","Hexagrammos sp."
"492",21931,"Hexagrammos octogrammus","masked greenling"
"493",21932,"Hexagrammos stelleri","whitespotted greenling"
"494",21934,"Hexagrammos lagocephalus","rock greenling"
"495",21935,"Hexagrammos decagrammus","kelp greenling"
"496",21936,"Zaniolepis latipinnis","longspine combfish"
"497",21937,"Zaniolepis frenata","shortspine combfish"
"498",22010,"Icosteus aenigmaticus","ragfish"
"499",22110,"Idiacanthus antrostomus","Pacific blackdragon"
"500",22121,"Medialuna californiensis","halfmoon"
"501",22169,"Cyclopteridae","Lumpsucker or snailfish unident."
"502",22170,"Cyclopteridae (family)","lumpsucker unid."
"503",22173,"Lethotremus sp.","Lethotremus sp."
"504",22175,"Aptocyclus ventricosus","smooth lumpsucker"
"505",22176,"Lethotremus muticus","docked snailfish"
"506",22177,"Eumicrotremus birulai","round lumpsucker"
"507",22178,"Eumicrotremus orbis","Pacific spiny lumpsucker"
"508",22179,"Eumicrotremus derjugini","leatherfin lumpsucker"
"509",22180,"Eumicrotremus gyrinops","Alaskan lumpsucker"
"510",22182,"Eumicrotremus andriashevi","pimpled lumpsucker"
"511",22183,"Eumicrotremus sp.","spiny lumpsuckers"
"512",22184,"Eumicrotremus barbatus","papillose lumpsucker"
"513",22190,"Eumicrotremus phrynoides","toad lumpsucker"
"514",22200,"Liparidae (family)","snailfish unid."
